neptune seq length/score graph by kmer
k = 10
,length,score

k = 13
,length,score

k = 16
,length,score
2.89,0.4799,172
3.99,0.4766,64
5.80,0.4752,84
3.96,0.4712,70
3.281,0.4703,87
4.239,0.4688,86
1.287,0.4636,108
3.129,0.4620,78
5.321,0.4614,86
3.344,0.4589,111
3.97,0.4566,86
0.248,0.4528,83
4.101,0.4522,67
3.121,0.4491,72
1.288,0.4473,122
3.343,0.4451,81
0.385,0.4434,66
0.368,0.4428,67
3.297,0.4414,74
0.375,0.4396,66
3.346,0.4372,109
1.260,0.4358,73
5.302,0.4338,66
4.125,0.4217,70
1.262,0.4217,80
0.372,0.4206,84
0.30,0.4192,98
5.403,0.4161,64
3.132,0.4091,73
2.139,0.4074,77
2.345,0.4061,66
0.380,0.4018,73
2.17,0.3980,151
5.316,0.3969,64
1.261,0.3949,137
2.138,0.3925,78
0.141,0.3873,84
4.238,0.3861,79
3.266,0.3849,65
0.381,0.3814,69
3.294,0.3806,67
5.219,0.3791,95
0.282,0.3773,69
3.274,0.3773,69
1.263,0.3736,86
2.19,0.3731,142
0.62,0.3725,69
5.223,0.3723,94
2.18,0.3711,147
4.231,0.3703,97
3.119,0.3676,92
0.93,0.3671,76
3.270,0.3657,70
3.268,0.3656,75
3.120,0.3608,71
2.269,0.3594,64
5.322,0.3593,88
3.296,0.3587,82
2.155,0.3574,79
0.247,0.3568,73
1.125,0.3502,67
0.377,0.3500,64
3.369,0.3465,148
2.145,0.3448,64
1.2,0.3441,96
1.258,0.3440,80
1.244,0.3430,81
3.272,0.3390,94
0.386,0.3367,115
1.398,0.3352,71
1.259,0.3309,68
2.129,0.3293,104
0.378,0.3265,68
0.376,0.3220,84
5.406,0.3217,73
2.272,0.3200,111
2.137,0.3186,78
1.243,0.3180,64
5.320,0.3159,87
0.374,0.3134,76
3.295,0.3092,67
5.400,0.3047,96
0.289,0.3011,127
5.317,0.2992,108
0.369,0.2948,100
0.382,0.2925,105
5.394,0.2849,109
0.371,0.2780,94
0.383,0.2775,102
5.404,0.2694,93
5.303,0.2614,70
0.373,0.2514,72
3.300,0.2297,65
3.280,0.2230,111
1.129,0.1958,64
5.318,0.1772,92
3.278,0.1576,72
1.245,0.1416,73

k = 19
,length,score
5.1402,0.9906,3378
2.439,0.9891,433
1.711,0.9886,2024
3.760,0.9873,1489
3.115,0.9844,1224
3.220,0.9835,443
2.755,0.9826,1118
4.657,0.9823,942
4.76,0.9817,669
0.684,0.9806,1439
5.903,0.9798,194
4.1371,0.9791,1332
2.806,0.9772,570
2.756,0.9766,770
0.678,0.9764,817
0.64,0.9762,520
2.1225,0.9761,906
0.63,0.9761,1024
2.1224,0.9756,841
2.67,0.9755,1159
4.1383,0.9752,1004
5.839,0.9752,1250
0.734,0.9703,640
5.835,0.9692,697
3.1920,0.9690,639
5.1131,0.9678,76
2.803,0.9672,443
2.1500,0.9671,412
0.1087,0.9667,469
4.1024,0.9667,481
4.1370,0.9667,1158
0.1868,0.9643,490
4.1388,0.9640,1031
2.1507,0.9638,537
3.216,0.9638,689
1.446,0.9620,518
4.1239,0.9600,632
4.1386,0.9588,567
5.838,0.9578,520
3.79,0.9574,879
0.1401,0.9571,587
5.240,0.9563,908
4.1398,0.9561,209
4.1479,0.9550,631
5.503,0.9549,91
2.1215,0.9543,241
5.834,0.9531,380
2.1512,0.9527,159
3.815,0.9518,361
2.441,0.9511,476
3.1914,0.9495,553
3.1045,0.9494,80
4.1128,0.9492,391
0.732,0.9488,302
0.669,0.9487,794
4.870,0.9482,702
1.425,0.9453,289
4.653,0.9449,326
3.745,0.9448,446
0.1690,0.9447,76
3.1359,0.9443,188
3.1608,0.9429,277
1.702,0.9419,365
2.76,0.9416,415
3.1915,0.9412,167
1.813,0.9405,319
1.355,0.9397,318
3.221,0.9393,196
0.679,0.9383,245
