neptune seq length/score graph by kmer
k = 10
,length,score

k = 13
,length,score

k = 16
,length,score
2.693,0.4049,1627
4.1136,0.3866,268
5.1362,0.3769,1268
3.1834,0.3618,484
5.1308,0.3603,3115
3.975,0.3485,5180
3.1833,0.3474,464
1.296,0.3458,325
5.1309,0.3440,542
0.1612,0.3409,2854
3.603,0.3398,1067
5.1361,0.3364,2929
4.1274,0.3346,2059
0.1611,0.3315,4176
0.1613,0.3307,649
1.931,0.3305,953
3.1009,0.3294,2180
2.1041,0.3278,2478
5.1884,0.3265,430
0.1615,0.3251,4081
2.85,0.3243,2330
2.1585,0.3242,974
5.1883,0.3194,552
2.1342,0.3193,986
5.1675,0.3149,338
0.454,0.3110,1393
2.956,0.2967,161
2.1586,0.2920,131
0.1614,0.2888,106
0.1616,0.2783,122
0.623,0.1880,93

k = 25
,length,score
2.233,0.9932,6100
3.860,0.9921,3589
1.737,0.9910,4841
2.110,0.9879,1905
4.1491,0.9830,1621
0.1903,0.9783,2124
5.58,0.9695,795
0.1076,0.9687,936
4.1490,0.9665,1152
5.365,0.9598,562
3.1940,0.9593,742
4.832,0.9576,1860
4.1595,0.9571,669
2.90,0.9541,1634
3.1675,0.9530,865
1.351,0.9528,489
0.666,0.9521,599
0.326,0.9518,661
1.1711,0.9500,733
4.1516,0.9497,741
5.802,0.9464,2749
2.1501,0.9450,191
4.287,0.9439,613
1.730,0.9437,565
1.735,0.9429,386
3.1486,0.9428,896
1.1347,0.9399,441
2.359,0.9397,318
3.307,0.9388,312
1.1505,0.9387,924
5.1340,0.9386,1959
3.1943,0.9375,1320
2.1436,0.9349,161
3.753,0.9320,227
0.1751,0.9312,1738
0.336,0.9274,739
1.1289,0.9253,384
5.1183,0.9239,157
1.1303,0.9223,468
4.1266,0.9208,271
3.287,0.9205,220
2.1050,0.9203,391
0.763,0.9180,233
5.473,0.9176,187
5.1383,0.9158,190
5.249,0.9136,1362
1.809,0.9115,350
4.809,0.9110,232
4.1597,0.9108,188
5.1931,0.9082,232
0.1096,0.9079,290
5.474,0.9063,1680
5.170,0.9061,142
3.1669,0.9015,6548
0.1980,0.9013,210
2.89,0.9012,1000
2.979,0.8993,165
5.1564,0.8985,226
2.1417,0.8967,255
3.680,0.8946,226
3.1945,0.8924,960
1.897,0.8886,190
0.1100,0.8877,106
0.944,0.8873,198
4.86,0.8853,4299
1.1672,0.8827,179
1.1614,0.8826,243
3.804,0.8819,267
3.1807,0.8809,108
3.343,0.8785,142
1.1348,0.8783,1153
3.1628,0.8778,983
4.1519,0.8772,171
2.1009,0.8736,108
1.118,0.8735,306
5.804,0.8725,932
4.691,0.8721,753
2.453,0.8679,682
0.442,0.8660,154
5.410,0.8657,117
4.312,0.8654,154
4.479,0.8645,102
0.312,0.8631,243
3.1539,0.8578,264
1.16,0.8573,193
5.875,0.8559,1013
4.788,0.8556,115
0.1616,0.8552,106
2.869,0.8552,8778
4.758,0.8511,537
4.1206,0.8482,100
0.888,0.8482,2306
4.757,0.8467,181
1.733,0.8455,381
4.85,0.8394,3007
3.1567,0.8354,112
5.1522,0.8329,117
1.130,0.8322,107
3.221,0.8321,145
3.1228,0.8304,103
5.1452,0.8266,163
1.1009,0.8261,109
1.1676,0.8251,115
2.67,0.8245,104
3.1916,0.8216,2951
4.812,0.8208,113
3.1915,0.8202,2176
2.823,0.8170,195
2.1319,0.8165,2940
0.413,0.8116,782
1.739,0.8104,816
0.952,0.8050,161
5.863,0.8050,711
5.798,0.8040,128
5.1141,0.8025,112
1.92,0.8022,268
1.738,0.8022,1472
1.485,0.8001,810
1.1427,0.7996,220
0.555,0.7991,117
3.89,0.7981,2834
0.777,0.7970,927
1.1846,0.7962,3821
0.113,0.7952,559
0.1122,0.7948,875
1.958,0.7899,1700
3.1834,0.7898,105
2.1447,0.7881,899
5.878,0.7877,1054
0.574,0.7794,2295
3.1665,0.7785,145
1.1694,0.7778,144
0.1120,0.7750,222
2.1325,0.7746,402
3.1507,0.7715,4302
3.1668,0.7703,274
3.355,0.7648,721
0.1024,0.7568,335
3.1919,0.7553,295
5.799,0.7513,173
5.427,0.7471,164
0.885,0.7315,2992
2.1321,0.7314,211
3.104,0.7076,121
1.302,0.7008,407
4.1230,0.6814,1061
3.19,0.6775,218
4.693,0.6754,4980
1.250,0.6729,415
5.61,0.6624,2801
1.595,0.6624,2207
2.942,0.6597,2431
2.941,0.6547,1748
4.1308,0.6537,1377
5.620,0.6529,6207
2.751,0.6417,5449
3.1461,0.6370,663
0.1268,0.6307,2012
0.907,0.6097,665
0.915,0.6006,1384
4.1302,0.5965,795
0.886,0.5926,119
1.25,0.5870,297
1.464,0.5816,103
3.1131,0.5804,109
1.827,0.5760,979
2.661,0.5612,300
3.1193,0.5606,168
3.479,0.5543,3353
4.834,0.5323,588
0.1274,0.5287,3531
2.1269,0.4964,5855
5.430,0.4886,3402
0.798,0.4883,1043
5.1365,0.4869,688
1.839,0.4854,138
3.1046,0.4851,430
4.922,0.4840,185
5.476,0.4834,691
3.1043,0.4826,7407
2.962,0.4819,507
0.1116,0.4810,3385
4.1172,0.4804,8634
5.1685,0.4780,1345
5.843,0.4738,491
5.845,0.4728,240
1.1807,0.4636,425
0.797,0.4626,257
5.1417,0.4588,475
5.1349,0.4529,165
4.1525,0.4511,217
2.961,0.4499,985
2.480,0.4378,211
5.1686,0.4360,254
5.1688,0.4290,205
5.475,0.4281,114
5.992,0.4023,6585
5.1422,0.3769,1268
2.489,0.3760,260
5.1419,0.3612,495
3.682,0.3595,3788
4.1167,0.3512,325
3.1006,0.3485,5180
5.1420,0.3474,464
1.21,0.3438,565
1.1803,0.3409,2854
3.629,0.3398,1067
4.1310,0.3382,2220
5.1421,0.3364,2929
3.1004,0.3334,402
1.1802,0.3315,4177
1.1804,0.3307,651
3.632,0.3301,466
1.959,0.3295,947
1.1053,0.3278,2478
1.1806,0.3251,4081
2.1658,0.3222,1207
3.631,0.3194,552
2.92,0.3187,1185
2.1403,0.3164,1073
3.1003,0.3149,338
2.93,0.3126,323
2.992,0.3008,155
1.1805,0.2888,106

k = 28
,length,score
0.97,0.9927,6209
5.579,0.9921,3589
1.764,0.9910,4841
0.1921,0.9879,1905
4.1513,0.9829,1618
0.1893,0.9783,2124
5.62,0.9711,1205
4.1512,0.9631,1176
2.1231,0.9630,1198
5.361,0.9598,562
4.859,0.9576,1860
4.1616,0.9571,669
2.93,0.9544,1631
1.1617,0.9530,865
5.1613,0.9528,489
1.485,0.9518,632
0.682,0.9513,593
2.1656,0.9506,1140
0.1605,0.9500,733
5.814,0.9464,2749
5.1098,0.9450,191
4.312,0.9439,613
1.759,0.9434,562
1.1428,0.9428,896
5.489,0.9416,328
5.1609,0.9397,318
3.1584,0.9387,924
3.1941,0.9371,1741
4.984,0.9362,421
2.1466,0.9349,161
5.1365,0.9348,2181
3.520,0.9325,270
3.757,0.9320,227
2.1892,0.9319,402
4.1244,0.9304,493
3.1942,0.9292,1555
3.1351,0.9274,409
1.1316,0.9253,384
2.1626,0.9239,157
1.1330,0.9223,468
2.305,0.9205,220
2.1061,0.9203,391
4.1290,0.9200,268
1.493,0.9192,842
0.773,0.9180,233
1.593,0.9170,276
0.1188,0.9158,190
1.837,0.9153,402
3.494,0.9136,1362
0.937,0.9114,654
2.866,0.9110,232
0.1086,0.9110,336
4.1619,0.9108,188
0.1379,0.9080,385
4.178,0.9071,311
3.65,0.9063,1680
5.175,0.9061,142
3.1652,0.9015,6548
2.985,0.8993,165
2.1915,0.8985,226
3.1430,0.8953,1783
2.1447,0.8950,252
2.358,0.8947,175
5.1387,0.8946,226
2.92,0.8926,1048
5.1577,0.8924,960
0.1485,0.8878,255
3.948,0.8876,252
1.1834,0.8874,755
4.91,0.8849,4293
2.1358,0.8844,295
4.67,0.8843,209
1.1702,0.8827,179
1.1648,0.8826,243
1.128,0.8735,306
3.1348,0.8725,932
3.1646,0.8694,714
1.762,0.8681,689
5.214,0.8631,243
2.1599,0.8581,1510
5.1078,0.8578,264
0.1842,0.8573,193
4.821,0.8556,115
5.889,0.8554,1010
5.1485,0.8537,8835
4.788,0.8527,534
3.1079,0.8472,148
2.795,0.8454,2444
4.721,0.8443,982
3.467,0.8442,172
4.787,0.8441,178
4.90,0.8394,3004
1.1503,0.8354,112
3.946,0.8329,117
3.236,0.8321,145
3.886,0.8266,163
4.938,0.8264,256
0.1916,0.8255,468
1.1708,0.8251,115
3.101,0.8226,150
3.1915,0.8211,2964
1.843,0.8208,113
3.1914,0.8202,2173
0.924,0.8201,134
1.1311,0.8116,3766
0.417,0.8116,782
1.766,0.8104,816
5.879,0.8058,705
2.1105,0.8050,161
5.809,0.8037,125
1.765,0.8022,1472
1.509,0.8001,810
1.1883,0.8000,4056
0.557,0.7991,117
5.453,0.7981,2834
0.783,0.7970,927
0.128,0.7953,561
5.869,0.7932,1181
1.975,0.7903,1694
2.1477,0.7880,896
5.892,0.7874,1048
0.581,0.7797,2289
3.983,0.7792,150
1.1293,0.7786,152
1.1315,0.7785,430
3.1648,0.7785,145
0.1462,0.7780,295
0.1109,0.7742,219
3.371,0.7648,721
1.1158,0.7568,335
5.428,0.7526,161
3.1354,0.7513,173
3.806,0.7315,2993
0.180,0.7008,407
3.1250,0.6994,116
4.1250,0.6814,1061
4.722,0.6753,4977
3.280,0.6729,415
2.1890,0.6624,2801
1.616,0.6624,2207
2.955,0.6597,2431
2.954,0.6547,1748
1.1973,0.6540,135
4.1330,0.6537,1377
5.624,0.6531,6204
3.18,0.6514,313
0.911,0.6479,2667
2.770,0.6417,5463
0.1257,0.6313,3643
2.486,0.6218,2598
0.887,0.5926,119
1.30,0.5859,291
0.799,0.5760,979
2.673,0.5320,399
4.861,0.5293,585
2.487,0.5254,613
2.769,0.5159,3176
2.1288,0.4964,5855
0.1104,0.4953,3497
1.851,0.4932,1326
5.431,0.4886,3402
1.1251,0.4855,8726
4.945,0.4837,182
5.479,0.4834,688
5.1438,0.4826,7407
3.679,0.4769,847
5.1695,0.4768,1621
2.1289,0.4738,491
5.1435,0.4713,489
2.1287,0.4713,268
0.1697,0.4636,425
5.1444,0.4588,475
1.974,0.4543,151
5.1373,0.4529,165
2.972,0.4437,2048
2.491,0.4366,208
5.1698,0.4290,205
4.1550,0.4187,266
4.1329,0.3979,5691
3.1451,0.3892,7237
3.491,0.3826,260
5.1449,0.3748,1315
5.1741,0.3737,6038
4.1191,0.3629,331
5.1446,0.3612,495
5.1389,0.3603,3896
5.1447,0.3474,464
1.1837,0.3409,2854
2.94,0.3389,165
4.1333,0.3382,2220
5.1448,0.3364,2929
1.1836,0.3315,4177
1.1838,0.3307,651
1.976,0.3288,941
1.1081,0.3278,2478
3.630,0.3275,494
3.628,0.3259,1483
2.95,0.3243,2318
1.1839,0.3242,4147
2.1693,0.3221,1202
3.629,0.3194,552
2.1427,0.3164,1070
0.680,0.2954,177

